,Document ID,Document Type,External Source(s),Authors,Date Acquired,Publication Date,Publication Information,Subject Category,Report/Patent Number,Meeting Information,Accession Number,Funding Number(s),Distribution Limits,Copyright,Technical Review,Keywords
11,"Air Transportation And Safety
Structural Mechanics","NASA/TM-2019-220153
GRC-E-DAA-TN65826",,WBS: 747797.06.13.06.30.03,Work of the US Gov. Public Use Permitted.,NASA Peer Committee,"Factor of Safety
Interaction Equation
Margin of Safety",20180004052,,Conference Paper,"July 31, 2018",,"June 5, 2017","Air Transportation And Safety
Systems Analysis And Operations Research",,
12,"ARC-E-DAA-TN36937
ARC-E-DAA-TN42319","AIAA Aviation and Aeronautics Forum and Exposition
(Denver, CO)",,CONTRACT_GRANT: NNA14AA60C,Public Use Permitted.,"national airspace system
safety
prediction",,20200002890,Presentation,,,"April 22, 2020","August 9, 2018",Air Transportation And Safety,,ARC-E-DAA-TN60557
13,"Visit to United Airlines
(Chicago, IL)",WBS: 340428.02.30.01.01,,Public Use Permitted.,NASA Technical Management,"Aviation safety
Hazards
Risk assessment",,20160006487,Conference Paper,,,"May 20, 2016","May 18, 2016",Space Transportation And Safety,KSC-E-DAA-TN31749,"Annual International Association for the Advancement of Space Safety (IAASS) Conference 2016
(Melbourne, FL)"
14,"CONTRACT_GRANT: NNK13OW20B
CONTRACT_GRANT: NNK12OE12C",Public Use Permitted.,,"Agency launch service organizations
Payload
Safety",20210023200,Presentation,,"October 21, 2021",Aeronautics (General),"National Academy of Sciences/Transportation Research Board: Meeting on Emerging Trends in Aviation Safety
(virtual)",,WBS: 031102.02.01.35.A163.21,Work of the US Gov. Public Use Permitted.,aviation safety reporting,,20180006997
15,Conference Paper,doi:10.2514/6.2017-4494,,"October 29, 2018","June 5, 2017",Air Transportation And Safety,,ARC-E-DAA-TN42318,"AIAA Aviation Forum
(Denver, CO)",CONTRACT_GRANT: NNA14AA60C,,Public Use Permitted.,"safety
workload
national airspace system",19720018311,Conference Proceedings,"September 2, 2013"
16,"May 26, 1971",Publication: Proceedings of the NASA Government-Industry System Safety Conference,,General,NASA-TM-X-68369,"Government-Industry System Safety Conference
(Greenbelt, MD)",,72N25961,Use by or on behalf of the US Gov. Permitted.,19720018320,,Conference Paper,"August 6, 2013","May 26, 1971",,Publication: Proceedings of the NASA Government-Industry System Safety Conference
17,General,"Government-Industry System Safety Conference
(Greenbelt, MD)",,72N25970,Portions of document may include copyright protected material.,,,20160002416,,Conference Paper,,"February 26, 2016","January 8, 2015",Air Transportation And Safety,,ARC-E-DAA-TN19378
18,"IEEE International Symposium on High Assurance Systems Engineering (HASE)
(Daytona Beach, FL)","CONTRACT_GRANT: NNA14AA60C
CONTRACT_GRANT: NNA14AA60CC",Public Use Permitted.,"Hierarchy
Abstraction
Automation
Safety Assurance
Safety Cases",19850009711,Conference Paper,,"August 12, 2013","December 1, 1984",Publication: NASA. Ames Research Center Flight Training Technol. for Regional(Commuter Airline Operations,,Air Transportation And Safety,85N18020,Work of the US Gov. Public Use Permitted.,,20140012574
19,Other,"September 24, 2014",,"January 1, 2013",Publication: NASA Range Safety Program,"Air Transportation And Safety
Launch Vehicles And Launch Operations",KSC-E-DAA-TN13235,CONTRACT_GRANT: NNK12OE12C,Work of the US Gov. Public Use Permitted.,"Center Status
Range Safety
Annual Report",20190028841,,Presentation,"August 9, 2019",,
20,"April 1, 2019",Air Transportation And Safety,,ARC-E-DAA-TN67494,"Aviation Safety InfoShare
(Dallas, TX)","WBS: 340428.02.30.01.01
CONTRACT_GRANT: NNA16BD58C",Public Use Permitted.,Aviation Safety Reporting System,,,,,,,,
